graph,vertices,edges,k,variables,clauses,solver_result
C10,10,10,2,40,120,UNSAT
C10,10,10,3,60,200,UNSAT
C10,10,10,4,80,300,SAT
C4,4,4,2,16,48,UNSAT
C4,4,4,3,24,80,UNSAT
C4,4,4,4,32,120,SAT
C6,6,6,2,24,72,UNSAT
C6,6,6,3,36,120,SAT
C8,8,8,2,32,96,UNSAT
C8,8,8,3,48,160,UNSAT
C8,8,8,4,64,240,SAT
diamond,4,5,2,18,64,UNSAT
diamond,4,5,3,27,105,UNSAT
diamond,4,5,4,36,155,SAT
K3_3,6,9,2,30,120,UNSAT
K3_3,6,9,3,45,195,UNSAT
K3_3,6,9,4,60,285,UNSAT
K3_3,6,9,5,75,390,SAT
K4,4,6,2,20,80,UNSAT
K4,4,6,3,30,130,UNSAT
K4,4,6,4,40,190,UNSAT
K4,4,6,5,50,260,SAT
K4_4,8,16,2,48,240,UNSAT
K4_4,8,16,3,72,384,UNSAT
K4_4,8,16,4,96,552,UNSAT
K4_4,8,16,5,120,744,UNSAT
K4_4,8,16,6,144,960,SAT
K5,5,10,2,30,150,UNSAT
K5,5,10,3,45,240,UNSAT
K5,5,10,4,60,345,UNSAT
K5,5,10,5,75,465,SAT
K5_5,10,25,2,70,420,UNSAT
K5_5,10,25,3,105,665,UNSAT
K5_5,10,25,4,140,945,UNSAT
K5_5,10,25,5,175,1260,UNSAT
K5_5,10,25,6,210,1610,UNSAT
K5_5,10,25,7,245,1995,SAT
K6,6,15,2,42,252,UNSAT
K6,6,15,3,63,399,UNSAT
K6,6,15,4,84,567,UNSAT
K6,6,15,5,105,756,UNSAT
K6,6,15,6,126,966,UNSAT
K6,6,15,7,147,1197,SAT
P10,2,1,2,6,12,UNSAT
P10,2,1,3,9,21,SAT
P4,4,3,2,14,36,UNSAT
P4,4,3,3,21,61,SAT
P6,6,5,2,22,60,UNSAT
P6,6,5,3,33,101,SAT
P8,8,7,2,30,84,UNSAT
P8,8,7,3,45,141,SAT
petersen,8,16,2,48,240,UNSAT
petersen,8,16,3,72,384,UNSAT
petersen,8,16,4,96,552,UNSAT
petersen,8,16,5,120,744,UNSAT
petersen,8,16,6,144,960,SAT
Q3,8,12,2,40,160,UNSAT
Q3,8,12,3,60,260,UNSAT
Q3,8,12,4,80,380,SAT
S5,6,5,2,22,72,UNSAT
S5,6,5,3,33,119,UNSAT
S5,6,5,4,44,177,UNSAT
S5,6,5,5,55,246,UNSAT
S5,6,5,6,66,326,SAT
S8,9,8,2,34,138,UNSAT
S8,9,8,3,51,224,UNSAT
S8,9,8,4,68,327,UNSAT
S8,9,8,5,85,447,UNSAT
S8,9,8,6,102,584,UNSAT
S8,9,8,7,119,738,UNSAT
S8,9,8,8,136,909,UNSAT
S8,9,8,9,153,1097,SAT
test_graph,4,5,2,18,64,UNSAT
test_graph,4,5,3,27,105,UNSAT
test_graph,4,5,4,36,155,SAT
W5,6,10,2,32,142,UNSAT
W5,6,10,3,48,229,UNSAT
W5,6,10,4,64,332,UNSAT
W5,6,10,5,80,451,UNSAT
W5,6,10,6,96,586,SAT
W7,8,14,2,44,212,UNSAT
W7,8,14,3,66,340,UNSAT
W7,8,14,4,88,490,UNSAT
W7,8,14,5,110,662,UNSAT
W7,8,14,6,132,856,UNSAT
W7,8,14,7,154,1072,UNSAT
W7,8,14,8,176,1310,SAT
